Date,Region,Product,Average
1/04/2009,Metro,ULP,117.9
1/05/2009,Metro,ULP,117.4
1/06/2009,Metro,ULP,123
1/07/2009,Metro,ULP,120.3
1/08/2009,Metro,ULP,121.4
1/09/2009,Metro,ULP,121.1
1/10/2009,Metro,ULP,117
1/11/2009,Metro,ULP,115.8
1/12/2009,Metro,ULP,117.1
1/01/2010,Metro,ULP,120
1/02/2010,Metro,ULP,123
1/03/2010,Metro,ULP,126.2
1/04/2010,Metro,ULP,128.4
1/05/2010,Metro,ULP,129.2
1/06/2010,Metro,ULP,127.6
1/07/2010,Metro,ULP,126.2
1/08/2010,Metro,ULP,124.5
1/09/2010,Metro,ULP,122.1
1/10/2010,Metro,ULP,121.4
1/11/2010,Metro,ULP,120.9
1/12/2010,Metro,ULP,127.8
1/01/2011,Metro,ULP,132.1
1/02/2011,Metro,ULP,134.8
1/03/2011,Metro,ULP,142.1
1/04/2011,Metro,ULP,143.9
1/05/2011,Metro,ULP,143.4
1/06/2011,Metro,ULP,138.8
1/07/2011,Metro,ULP,139.8
1/08/2011,Metro,ULP,139.8
1/09/2011,Metro,ULP,143.5
1/10/2011,Metro,ULP,145.6
1/11/2011,Metro,ULP,140.5
1/12/2011,Metro,ULP,139
1/01/2012,Metro,ULP,141.3
1/02/2012,Metro,ULP,142.8
1/03/2012,Metro,ULP,148.3
1/04/2012,Metro,ULP,151.2
1/05/2012,Metro,ULP,147.6
1/06/2012,Metro,ULP,139.3
1/07/2012,Metro,ULP,133.5
1/08/2012,Metro,ULP,142.4
1/09/2012,Metro,ULP,145
1/10/2012,Metro,ULP,145.1
1/11/2012,Metro,ULP,139.6
1/12/2012,Metro,ULP,139.6
1/01/2013,Metro,ULP,140.5
1/02/2013,Metro,ULP,147.5
1/03/2013,Metro,ULP,147.4
1/04/2013,Metro,ULP,138.8
1/05/2013,Metro,ULP,138
1/06/2013,Metro,ULP,145.9
1/07/2013,Metro,ULP,152.2
1/08/2013,Metro,ULP,150.1
1/09/2013,Metro,ULP,150.8
1/10/2013,Metro,ULP,146.2
1/11/2013,Metro,ULP,144.8
1/12/2013,Metro,ULP,151.1
1/01/2014,Metro,ULP,154.5
1/02/2014,Metro,ULP,153.7
1/03/2014,Metro,ULP,154.2
1/04/2014,Metro,ULP,151.8
1/05/2014,Metro,ULP,152.6
1/06/2014,Metro,ULP,152.7
1/07/2014,Metro,ULP,153.3
1/08/2014,Metro,ULP,146.1
1/09/2014,Metro,ULP,144.2
1/10/2014,Metro,ULP,144.9
1/11/2014,Metro,ULP,137.7
1/12/2014,Metro,ULP,126.4
1/01/2015,Metro,ULP,114.8
1/02/2015,Metro,ULP,118.7
1/03/2015,Metro,ULP,129.1
1/04/2015,Metro,ULP,129.6
1/05/2015,Metro,ULP,135.4
1/06/2015,Metro,ULP,138.1
1/07/2015,Metro,ULP,137.6
1/08/2015,Metro,ULP,133.7
1/09/2015,Metro,ULP,129.1
1/10/2015,Metro,ULP,127.3
1/11/2015,Metro,ULP,122.6
1/12/2015,Metro,ULP,123.4
1/01/2016,Metro,ULP,118.5
1/02/2016,Metro,ULP,110.2
1/03/2016,Metro,ULP,111.1
1/04/2016,Metro,ULP,111.1
1/05/2016,Metro,ULP,113.6
1/06/2016,Metro,ULP,123.2
1/07/2016,Metro,ULP,120.1
1/08/2016,Metro,ULP,113
1/09/2016,Metro,ULP,111.3
1/10/2016,Metro,ULP,114.5
1/11/2016,Metro,ULP,123.6
1/12/2016,Metro,ULP,127.1
1/01/2017,Metro,ULP,133.6
1/02/2017,Metro,ULP,132.5
1/03/2017,Metro,ULP,129.3
1/04/2017,Metro,ULP,126.1
1/05/2017,Metro,ULP,125.9
1/06/2017,Metro,ULP,124.1
1/07/2017,Metro,ULP,118.5
1/08/2017,Metro,ULP,123.3
1/09/2017,Metro,ULP,127.1
1/10/2017,Metro,ULP,129.3
1/11/2017,Metro,ULP,135.6
1/12/2017,Metro,ULP,137.3
1/01/2018,Metro,ULP,137.9
1/02/2018,Metro,ULP,137.4
1/03/2018,Metro,ULP,135.7
1/04/2018,Metro,ULP,138.9
1/05/2018,Metro,ULP,147.2
1/06/2018,Metro,ULP,148.5
1/07/2018,Metro,ULP,146.3
1/08/2018,Metro,ULP,143.9
1/09/2018,Metro,ULP,148.5
1/10/2018,Metro,ULP,157.4
1/11/2018,Metro,ULP,145.4
1/12/2018,Metro,ULP,129.4
1/01/2019,Metro,ULP,127.8
1/02/2019,Metro,ULP,129.8
1/03/2019,Metro,ULP,137.1
1/04/2019,Metro,ULP,145.9
1/05/2019,Metro,ULP,149.3
1/06/2019,Metro,ULP,138.1
1/07/2019,Metro,ULP,140
1/08/2019,Metro,ULP,139.2
1/09/2019,Metro,ULP,141.6
1/10/2019,Metro,ULP,145.7
